
FullName,Service,Role,CanonicalModules,IsTest
C:\Users\richg\eafix-modular\services\risk-manager\tests\2099900184260118_test_risk_manager_plugin.py,risk-manager,test,R1_RISK_EVALUATOR,1
C:\Users\richg\eafix-modular\services\execution-engine\tests\2099900145260118_test_execution_engine_plugin.py,execution-engine,test,"B2_MT4_EA_EXECUTOR,O2_OMS,O3_PNL_CLASSIFIER",1
C:\Users\richg\eafix-modular\services\reporter\tests\2099900182260118_test_reporter_plugin.py,reporter,test,,1
C:\Users\richg\eafix-modular\scripts\2099900084260118_validate_plugin_system.py,,plugin,,0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900109260118_config.py,data-ingestor,config,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900163260118_config.py,reentry-engine,config,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900197260118_config.py,transport-router,config,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\services\reentry-matrix-svc\src\2099900176260118_plugin.py,reentry-matrix-svc,plugin,E3_MATRIX_LOOKUP,0
C:\Users\richg\eafix-modular\services\transport-router\src\2099900201260118_plugin.py,transport-router,plugin,"R2_ORDER_INTENT_COMPILER,O1_ORDER_ROUTER,B1_MT4_ADAPTER_TRANSPORT",0
C:\Users\richg\eafix-modular\2099900006260118_eafix_plugin_main.py,,plugin,,0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900089260118_config.py,calendar-ingestor,config,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\telemetry-daemon\src\2099900194260118_plugin.py,telemetry-daemon,plugin,P1_HEALTH_AGGREGATOR,0
C:\Users\richg\eafix-modular\services\reentry-matrix-svc\src\2099900172260118_config.py,reentry-matrix-svc,config,E3_MATRIX_LOOKUP,0
C:\Users\richg\eafix-modular\services\reentry-engine\src\2099900168260118_plugin.py,reentry-engine,plugin,"E1_OUTCOME_BUCKETIZER,E2_PROXIMITY_EVALUATOR,E4_REENTRY_INTENT_BUILDER",0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900095260118_plugin.py,calendar-ingestor,plugin,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
