file_id,relative_path,directory_id,file_name,extension,module_id,assigned_module_name,process_steps,component_ids,last_verified_utc,file_scope_class
10000000000000000593,services/data-ingestor/tests/unit/2099900118260118_test_data_ingestor_enterprise.py,20000000000000000173,2099900118260118_test_data_ingestor_enterprise.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000594,services/data-ingestor/tests/unit/2099900119260118_test_data_ingestor_service.py,20000000000000000173,2099900119260118_test_data_ingestor_service.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000595,services/data-ingestor/tests/unit/2099900120260118___init__.py,20000000000000000173,2099900120260118___init__.py,.py,50000000000000000007,Market Feed Adapter,,,2026-03-16T00:00:00Z,module_owned
10000000000000000607,services/desktop-ui/2099900128260118_expiry_indicator_service.py,20000000000000000176,2099900128260118_expiry_indicator_service.py,.py,50000000000000000009,Indicator Engine,60000000000000000009,,2026-03-16T00:00:00Z,module_owned
10000000000000000623,services/event-gateway/src/2099900141260118_main.py,20000000000000000182,2099900141260118_main.py,.py,50000000000000000018,Exec Event Normalizer,60000000000000000018,,2026-03-16T00:00:00Z,module_owned
10000000000000000626,services/execution-engine/src/2099900144260118_plugin.py,20000000000000000184,2099900144260118_plugin.py,.py,50000000000000000017,MT4 EA Executor,,,2026-03-16T00:00:00Z,module_owned
10000000000000000630,services/execution-engine/tests/2099900145260118_test_execution_engine_plugin.py,20000000000000000185,2099900145260118_test_execution_engine_plugin.py,.py,50000000000000000017,MT4 EA Executor,,,2026-03-16T00:00:00Z,module_owned
10000000000000000631,services/flow-monitor/src/2099900146260118_config.py,20000000000000000187,2099900146260118_config.py,.py,50000000000000000026,Health Aggregator,,,2026-03-16T00:00:00Z,module_owned
10000000000000000632,services/flow-monitor/src/2099900147260118_monitor.py,20000000000000000187,2099900147260118_monitor.py,.py,50000000000000000026,Health Aggregator,,,2026-03-16T00:00:00Z,module_owned
10000000000000000644,services/indicator-engine/src/2099900159260118_plugin.py,20000000000000000194,2099900159260118_plugin.py,.py,50000000000000000009,Indicator Engine,,,2026-03-16T00:00:00Z,module_owned
